denominationUniteLegale,siren,trancheEffectifsUniteLegale
ALTIS VANNES,509554861,21
BFORBANK,509560272,32
SUEZ SMART SOLUTIONS,509561395,22
AGILITY PROPRETE ET SERVICES,509562104,22
CEFEM INDUSTRIES,509565396,21
VADE SECURE,509568416,21
SARBACANE SOFTWARE,509568598,21
GIE CENTRE CONTACT CLIENT,509576609,21
PPG COATINGS BUSINESS SUPPORT SARL,509587549,21
CLINIQUE DE MONTBELIARD,509587911,22
PPG COATINGS MANUFACTURING SARL,509588091,22
MEA TRANSPORTS ET LOCATION,509590188,21
LA BOUTIQUE DES GROUPES,509594784,21
ESSITY OPERATIONS LE THEIL,509599619,32
SIMCORP FRANCE,509601068,21
ALTITUDE INFRASTRUCTURE CONSTRUCTION,509601282,22
RESIDENCE CALIXTE,509602504,21
ARC PRESTATIONS,509604500,21
SOCIETE DE GESTION DE L'AEROPORT DE LA REGION DE LILLE,509609756,22
IP3 LYON,509616710,21
RESIDENCE LE MONTHEARD,509618351,21
AVIROC,509619920,21
LEFEBVRE DALLOZ SERVICES,509620290,32
LES MAISONNEES DE CALAIS,509626529,21
HARWELL MANAGEMENT,509628004,22
AMCOR FLEXIBLES PACKAGING FRANCE SAS,509628798,32
SOCIETE FRANCAISE DE DEMENAGEMENT INTERNATIONAL (SOFDI),509628996,22
LA ROSE DES VENTS,509637351,21
EDEIS AEROPORT TARBES LOURDES PYRENEES,509638433,22
B.B.B. AUTOMOBILES,509638755,21
VITI . TIM,509644811,21
GSF ARIANE,509646816,41
LES VEYS EXPRESS,509648853,32
LES OPALINES FOUCHERANS,509649794,21
CITY SERVICES,509651402,32
EATON INDUSTRIES (FRANCE) SAS,509653176,32
ETS GALERIES BARES,509660965,21
ALTITUDE INFRASTRUCTURE EXPLOITATION,509662052,22
SAGA-GGE,509664116,32
KMC,509664207,21
THYM BUSINESS,509667515,22
UKAD,509667838,21
GRANVELLE,509668950,21
ZF MOBILITY FRANCE,509673794,22
CLINIQUE DE LA SAUVEGARDE,509674008,32
HYGIE CONSEILS,509678579,21
FORD AQUITAINE INDUSTRIES,509678959,41
FIVE ARROWS MANAGERS,509679189,21
QUADIENT SHIPPING,509700852,22
DISTRI MASCAREIGNES,509701462,21
LC NET-PROPRETE,509703872,21
EURONETTOYAGE,509707923,21
ROIDYS,509716064,21
DCB,509745535,21
PROTELCO,509760948,41
GROUPE VITAL,509762449,22
PLASTIENVASE FRANCIA,509779963,22
ASSISTANCE ET AIDE A DOMICILE 33,509786349,21
NET & CO,509797239,31
COURCELDIS,509815205,21
GAC,509820502,22
PARIS COLLEGE OF ART,509822185,21
ARKOLIA ENERGIES,509835104,21
MG,509843850,22
PERRENOT TOULOUSE,509852612,21
VIDEAL 30,509858809,21
PERRENOT NARBONNE,509866380,22
VIVR A G SAD,509867446,21
LE 19 AVENUE KLEBER,509873543,41
PERRENOT GRASSE,509890943,22
LE GRENIER DES GASTRONOMES,509896577,21
ROUX SERVICES,509908182,21
L ILE AU MEDOC,509923645,21
ALSA BIO CONCEPT,509929485,21
MOREST,509931499,21
FERMENTALG,509935151,21
COLSPA SAS,509936464,22
CLABODIS,509949533,22
SELLSY,509961074,21
PONTICELLI PREFABRICATION SERVICES,509983250,21
SOC INTERNATIONALE DES MOTEURS BAUDOUIN,509985735,22
FLOMAR,509987301,21
LE BATTANT DES LAMES,509989547,21
PRETTRE ESPACES VERTS,510001423,21
COMPOBAIE SOLUTIONS,510007305,22
GRAND MARSEILLE MPLUS,510030539,21
CAUSE A EFFET,510036114,21
SOCIETE NOUVELLE SOFRAPAIN,510036304,21
ATOL GROUP,510064181,21
BLONDEL AEROLOGISTIQUE,510087372,22
REGA,510113145,21
SOLERYS,510126949,22
MISTRAL ASCENSEURS,510178627,22
PROVENCE DISTRIBUTION LOGISTIQUE,510195134,21
XEFI INGENIERIE,510227606,21
SCOR INVESTMENT PARTNERS SE,510235815,21
L.V.D.H,510238702,21
L'ENTREPRISE ADAPTEE,510246580,21
DIMO MAINT,510268337,21
CRESCENDO,510290786,21
ALPES NET SERVICES,510300833,21
CAFPI,510302953,32
MANDARIN TELEVISION,510311772,22
ANET DISTRIBUTION,510330012,32
CLINIQUE DE COSNE SUR LOIRE,510347552,21
CLEMA,510367956,22
IRISOLARIS,510375835,21
BRETTES PAYSAGE SAS,510380637,21
HOLVIA PORC,510408230,22
URBAN LINKER,510408388,21
GR4 FR,510409667,22
H.M SERVICES,510464266,21
CAP2CALL,510467228,31
DMC,510469406,22
POLYTECH,510470396,21
LENDYS,510529266,21
ANGLE NEUF,510539018,21
STELIAU TECHNOLOGY,510539208,21
PIMAN CONSULTANTS,510544497,32
CAPDUNE,510557374,32
NSTI,510572480,21
J.A LOMBART,510580798,21
CALVIDIS,510581499,21
METIN PR,510610199,21
CLAM,510633803,21
EHPAD LES LILAS,510659485,21
LES 3FRERES,510661572,21
AER,510686751,32
SID LEE PARIS,510729155,21
GIE RSM PARIS,510757255,32
GAZ DE PARIS,510764335,21
ANTIPODE CONSULTING,510774086,21
L'AQUITAINE DE RESTAURATION,510780281,22
LES HEBIHENS,510782535,21
A2S ENVIRONNEMENT,510782972,22
ACIA AUTOMOTIVE,510803075,21
EIFFEL INVESTMENT GROUP,510813991,21
PROJEF,510818495,22
LA CRAU DIS,510828718,21
EUROPAMIANTE,510872435,21
VIGILIA SECURITE,510889173,31
RADAR FILMS,510952203,22
DUVERGT FBI,510961402,21
F L EXPRESS,510975402,21
SEQUOIA,510980659,21
DISTRIBUTION PIECES AUTOMOBILES NIORT - D.P.A.N.,511015620,21
CAMPARI FRANCE,511042368,32
CS NOVIDY'S,511055006,22
TNEX,511068124,22
GARDIENNAGE PROTECTION SURVEILLANCE SECURITE (GPS SECURITE),511068900,21
EVEN LAIT INDUSTRIE,511070427,41
UCLAB INDUSTRIE,511071136,32
YFFINIAC INDUSTRIE,511072704,22
VEEAM SOFTWARE FRANCE,511085177,21
SARL LES BERGERONS,511089906,21
DOCAPOSTE CSP,511096679,22
ECO - C.L.E.A.N.,511097495,21
SRB CONSTRUCTION,511106528,21
ADAM,511119661,21
SOMARAIL,511125890,21
ARWE SERVICE FRANCE,511146169,22
A2MICILE ARTOIS,511146474,21
PRESCOM,511147332,21
COUSTELLET DISTRIBUTION,511187924,21
BIO POLE ANTILLES,511191546,22
AMARIS FRANCE SAS,511199226,42
ABC PORTAGE SERVICES,511206245,21
NOVA NAUTIC,511219370,21
VERTUO FINANCIAL SERVICES,511221152,21
FAVIER SETREM,511228025,21
SOLI,511233942,21
BIO HABITAT,511239915,41
SODIPLAN,511273401,22
TRICYCLE ENVIRONNEMENT,511277907,21
AD OPALE,511278368,21
3MEDIA,511278533,41
BGL,511285967,21
GOODYEAR AMIENS,511302069,41
O2 NANTES - SAINT-HERBLAIN,511302077,21
LAMBERET,511316291,41
COSEL,511342099,32
SETFORGE L'HORME SOCIETE NOUVELLE,511353393,21
SETFORGE LA CLAYETTE SOCIETE NOUVELLE,511353476,22
LEETCHI,511361073,22
IMAGERIE MEDICALE ET RADIOTHERAPIE,511401242,21
SETFORGE GAUVIN SOCIETE NOUVELLE,511405177,21
VIGNEXPERT SERVICES,511428658,31
MICROPOLE LEVALLOIS 3,511432619,22
BGFIBANK EUROPE,511432940,21
MR CARTONNAGE NUMERIQUE,511444630,21
LES AGAPES'HOTES,511444721,22
VIDELIO-EVENTS,511527756,31
NP6 SOLUTIONS,511540189,21
FRENZY PARIS,511540437,21
MASDIAL SECURITE,511542052,21
SYLPHEO,511542474,21
VINTHAN,511577991,21
SANZ SAINT HERBLAIN,511585150,21
SANZ COUERON,511585168,22
SAS MICHOLET METALLERIE,511638678,21
ECO CO2,511644601,21
MANUFACTURE DES TENTES CABANON,511645079,21
ZOOMALIA,511656431,22
DEFI TRANS,511680910,21
LES MAISONNEES DE BLOIS,511692006,21
ADENES,511709677,22
DEEZER,511716573,32
LUCIL,511738122,22
FRANPRIX SUPPORT,511742074,32
SCHNEIDER ELECTRIC ENERGY FRANCE,511746356,32
EUROSTYLE SYSTEMS TECH CENTER FRANCE,511763831,31
EUROSTYLE SYSTEMS CHATEAUROUX,511764078,22
DIOTASOFT,511778532,21
CHANTIER NAVAL COUACH - CNC,511791410,22
ENERGY POOL DEVELOPPEMENT,511797904,21
MUGO PAYSAGE,511820896,21
GREENFLEX,511840845,32
MASK PLASTIQUE,511852568,21
EUROSTYLE SYSTEMS SENS,511854622,22
EUROSTYLE SYSTEMS VALENCIENNES,511856833,22
AKIVA,511857294,21
PAPREC SUD-OUEST,511867327,22
PAPREC NORD NORMANDIE,511867442,31
INETEX CENTRE VAL DE LOIRE,511898363,21
LEGULICE,511922171,22
BOULANGERIE SICARD,511923054,22
TIADIS,511940009,21
PERNEL MEDIA,512021734,22
GABRIEL,512025115,21
PRIVACIA,512034851,21
CBA-HOME,512046913,21
GENERAL ENERGY,512053679,21
VILLA BEAUSOLEIL LOISY,512069188,21
VILLA BEAUSOLEIL DRANCY,512069279,21
DEVOTEAM G CLOUD,512085036,22
ANTILLES SECURITE HOSPITALIERE ASH,512085614,21
TALORIG,512099565,21
I CUBE RESEARCH,512104811,22
EXOLIANCE CAPITAL,512116211,22
VIATEMIS,512145764,21
C.MULTISERV,512152588,21
SAS MAROQUINERIE HANNA,512181181,21
ACTIV'ADIS,512192725,22
SN VAL T.I,512195231,21
ALTER SOLUTIONS FRANCE,512196064,21
BIOD'OC,512258849,22
TRAINLINE S.A.S.,512277450,21
O2 MARSEILLE CENTRE,512325093,21
VTP,512327511,21
FECHNER FILMS,512358607,22
TME,512366212,21
L'OR EN CASH,512412628,22
ICA PATRIMOINE,512424219,21
PYLE INDUSTRIES,512435678,22
ARTEMIS COURTAGE,512444282,22
PIGEON BRETAGNE SUD,512449539,22
SUDALP,512452632,21
SAVIPLAST,512471491,21
SOBOX,512482928,22
START PROTECTION,512487893,21
PHARMAPOINTE,512501263,21
T.V.M.,512502691,21
GAMACASH,512549494,21
PSV DISTRIBUTION,512556051,22
LINGENHELD TRAVAUX SPECIAUX,512571589,21
MURATA INTEGRATED PASSIVE SOLUTIONS,512603861,22
SARL MARTIN LAPIERE,512646324,21
NOE CONCEPT,512650110,21
SEQUOIA PROPRETE ET MULTISERVICES,512659186,41
360LEARNING,512663733,22
ORANGE CYBERDEFENSE,512664194,41
STELLA,512667577,41
SARL GEI (GRAND EST IMMO),512673856,21
PRIMIUM,512696048,41
MEDIPOLE DE SAVOIE,512715947,32
OXY+,512723289,22
SARL METHODES DE CONTROLE ET DE MANAGEMENT DE SECURITE,512744608,21
MULTI BATIMENT ENVIRONNEMENT,512788647,21
GILBERT JAMES VOYAGES,512793936,21
ESAD,512817586,21
ROCHEFOLLE CONSTRUCTIONS,512820317,21
VOXENS GROUPE,512822008,21
R DISTRIB,512854027,21
BONITASOFT,512854514,21
SELARL DES CORDELIERS,512882317,21
ACROCHATS,512888439,21
SDRC DEVELOPPEMENT,512903865,22
OSTHEOPATHIE F.I,512904129,22
HUMBLOT,512909169,21
ISOSTEO LYON,512913757,21
S G P,512920109,22
REPORTWISE CONSULTING,512948696,21
SCALITY,512955089,21
SOCIETE DE PIECES ET SERVICES AUTOMOBILE DE L'OUEST,512956657,21
HLV NETTOYAGE,512957556,21
SOUFFLET TRANSPORTS,513000687,22
KEOLIS PAYS NANCEIEN,513010934,21
NEDEL,513014076,21
AMREST DELCO FRANCE,513017038,31
EVOLUTEC INGENIERIE,513023051,21
LACIS,513027821,21
BOURBON AUTOMOTIVE PLASTICS VOUJEAUCOURT,513028613,21
BOURBON AUTOMOTIVE PLASTICS BELLEME PARABREVIATION BOURBON AP BELLEME,513028662,21
INOP'S,513082503,21
CST PROFRET,513120493,21
EUROVENT CERTITA CERTIFICATION,513133637,21
ERBA ROSSA DEVELOPPEMENT,513162842,21
SAINT JEAN INDUSTRIES LAVAL,513166595,22
VAL'LIMAGNE.COOP,513175810,21
SPIRIT AEROSYSTEMS FRANCE SARL,513178269,22
LA FEE SERVICES,513185256,21
EVANEOS,513191122,22
ROADIS,513193136,32
GEM'BUS,513202879,21
AROLLA,513205344,22
COURS GALIEN,513216705,21
FONCIA IMMO NEUF,513225672,21
LE REPAIRE DE BACCHUS,513235267,21
SODIRIB,513237651,22
BARROIDIS,513254920,32
VM 28000,513260133,21
HELIUM,513263111,22
BM&A ADVISORY & SUPPORT,513273763,21
HIGHLANDS PROPRETE,513281253,21
EDF ENR PWT,513281972,31
SUDALP II,513287383,32
O CONNECTION,513299529,21
VENDEE SEVRES NEGOCE,513316794,21
GROUPE MURELLO CONSTRUCTION - G.M.C,513351379,21
WEST PHARMACEUTICAL SERVICES NORMANDIE,513353474,21
SET-WAY,513361683,22
TOULONDIS I,513376806,21
LENGOW,513381434,22
LABORATOIRE VABEL,513385476,22
HELLA ENGINEERING FRANCE,513401612,21
ESSI SAPHIR,513406108,22
DIGITALOCAL,513410779,21
2BDM,513437046,21
PICARDIE BIOMASSE ENERGIE,513449470,21
BSL PARIS,513450494,31
MAT 3,513450601,22
LIVE NATION SAS,513451468,21
TELIMA BUSINESS SOLUTIONS,513453613,21
WE ARE CLOUD,513468330,21
UNILIANS,513487009,32
NEOPTIM CONSULTING,513488395,21
HEMOS SANTE,513499665,21
DOMCO,513503201,21
UPSCIENCE,513504399,22
GROUPE J L V,513504498,22
ALPES DOMICILE SERVICES,513506162,21
ARMATIS AUXERRE,513506543,32
INOVAXO,513519066,21
DOMUS VIE QUOTIDIENNE,513533141,21
REACTIV SECURITE,513560060,22
GROUPE JANNEAU INDUSTRIES,513564450,21
ESSI QUARTZ,513583179,21
AMBRA,513584276,22
A2MICILE VILLEFRANCHE SUR SAONE,513609008,21
GIE ICV - VVS,513617498,22
BW INDUSTRIE,513618157,21
LTR MOUVAUX,513625525,21
MWM,513627299,21
SOCIETE NOUVELLEWM EN ABREGE 'WM',513634808,42
COSTCO FRANCE,513637918,32
GXO LOGISTICS H FRANCE,513648022,22
TRANSPORTS DEROCQ,513648576,21
ALPHA DIRECT,513674978,22
DEFTA ESSOMES,513676379,22
EASY MENAGE,513676403,21
ACQUA,513676445,32
STEF LOGISTIQUE MIRAMAS,513676551,21
NG CONCEPT,513678409,21
SOCIETE PUBLIQUE REGIONALE DES PAYS DE LA LOIRE,513682591,22
KORUM,513682781,22
FTI FRANCE,513692038,21
24 25 FILMS,513701136,22
ANGIE,513702001,21
LUCAS FRANCE,513703389,21
EUROP'TP,513737544,21
CRISTAL NET MONTPELLIER,513747584,31
CLERMONT DISTRIBUTION,513750042,21
DASHLANE,513752014,22
PANDAT FINANCE,513785741,21
SCP J.DOUCEDE C.DOUCEDE-CHATEAU C.H. DOUCEDE GREFFIERS DE TRIBUNAL,513802835,21
GROUPE ESP-ESD,513813121,21
TRANS DI,513821322,21
SARL DURAND FILS,513843631,21
HARDIS GROUPE,513852657,42
SB2C,513856021,21
SERVICE A DOM',513858043,21
IMOPTEL,513882209,22
FEHR TECHNOLOGIES REGION RHENANE,513882886,22
ACTEM'OTEL,513900688,21
ULTIMA DISPLAYS FRANCE,513916031,22
UNION SPORTIVE OLYMPIQUE DE NEVERS RUGBY PLUS,513917922,21
SOCIETE ALIZE ENVIRONNEMENT PROPRETE,513920041,21
RESIDENCE LA TOURNELLE,513934588,21
VENEDIM TELECOM ET RESEAUX,513934646,22
EUROCAST CHATEAUROUX,513936088,22
SOCIETE NOUVELLE TAM,513936138,21
DUFRY TOULOUSE SAS,513943845,21
EUROCAST REYRIEUX,513946475,22
EUROCAST THONON,513946558,22
EUROCAST DELLE,513947630,22
LA FEE SERVICES,513955450,21
MAROFICA,513961102,22
RECOMMERCE SOLUTIONS,513969402,22
AGENCE DIVA,513994947,21
TEAM 3 SERVICES,514001593,22
PUBLICIS K1,514009026,21
XLM SERVICES,514023753,21
GROUPE EOLEN,514023878,22
WEBHELP MONTCEAU,514032655,41
EUROCAST BRIVE,514050467,22
KINAXIA,514061738,21
ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,514080837,52
KID'S COOL,514108075,22
REGEAL,514108877,21
ITM LOGISTIQUE EQUIPEMENT DE LA MAISON INTERNATIONAL,514111145,41
SAIDO,514115211,21
AM RETAIL SUD,514155191,21
AQUAREL SERVICES,514186477,21
TOULON SERVICES,514211267,21
BWI FRANCE,514234939,21
IVAN BILLARD SAS,514239698,21
FECAMP DISTRIBUTION,514248426,31
L'OPTICIEN AFFLELOU,514266675,32
GOUZE NORMANDIE SAS,514266865,22
AUTOGRILL FFH AUTOROUTES,514271782,31
GRAND'RUE DISTRIBUTION,514303387,21
GOUZE NORD PICARDIE SAS,514333400,32
DOMICILE CLEAN FONTAINEBLEAU,514337013,21
SFERIS,514368034,41
TRANSPORTS JEANTET PONTARLIER,514431717,21
A VIEDOM,514455872,21
INAXEL,514457100,21
SAMSIC ASSISTANCE BAGLINK,514475672,22
CONCEPT & VOLUME EVENEMENTS,514486240,21
LORIERE FRUITS,514489137,21
SELCODIS,514491380,21
RSJ,514549120,21
ACTION PROPRETE,514577147,21
SIGFOX,514582444,32
KEOP SYSTEME,514585405,21
PLATEFORME COBANOR TRITEX,514603091,21
QARSON,514610484,21
LA BANQUE POSTALE LEASING & FACTORING,514613207,22
GLCE LITTORAL,514626498,22
GESTHIE II,514658152,22
SUSHI LAC,514664374,21
SOCIETE DES EAUX DE CORSE,514709211,22
SPG,514739531,21
SUD METAL PROVENCE,514742725,21
HASLER GROUP,514743038,21
LEASE PROTECT FRANCE,514801455,21
NEEL TRIMARANS,514815844,21
LEATWO,514850866,21
LES PETITES CRECHES,514851583,21
IPERIA INNOVATION PIECES DE RECHANGE INDUSTRIELLES AUTOMOBILES,514869189,21
LE PARC DU DONJON,514871870,21
VOXENS ASSURANCES,514875764,21
FAB CONSTRUCTION,514894153,21
MIZAR FILMS,514895226,22
SARL GRAND,514897057,21
OC DEVELOPPEMENT,514916204,21
ARCYCOM,514930320,41
DURANET,514977081,22
AGENCE DE SECURITE ET DE GARDIENNAGE,514984178,32
CRF SANTE,514989268,22
GESTION INTERACTIVE GALERIE D,515013894,21
CONFORT DECOR,515020345,21
PROGUARD,515045037,21
AZUR SANTE PLUS,515051944,32
H & M HENNES & MAURITZ LOGISTICS GBC FRANCE,515063147,22
DUPONT RESTAURATION REUNION,515079838,22
JMJU SERVICES,515094209,21
CALZEDONIA FRANCE,515099562,41
G F A,515132306,21
TALAN CORPORATE,515132694,21
MAVIC SAS,515155844,31
CAR ET BUS MAINTENANCE,515156917,21
SOVEA,515160497,21
RAMP TERMINAL ONE,515192763,22
AUTONOMIA,515200657,21
GREENWISHES,515200863,21
ORLY RAMP ASSISTANCE,515212769,32
GEH SERVICES,515212785,21
ORLY CUSTOMER ASSISTANCE,515212801,32
GLOBAL CONCEPT,515222982,22
MIODIS,515227742,22
AEGE,515231355,21
GEKKO,515274579,21
FONDERIE DE BRETAGNE,515275048,32
DELAWARE CONSULTING,515285047,22
CERBALLIANCE BOURGOGNE,515312908,21
ETEX FRANCE EXTERIORS,515331346,32
MICROTEC,515331577,22
SAVEURS D'ANTOINE,515339554,32
HOTEL AIGLE DES NEIGES,515353795,21
TESTEDIS,515369783,22
OKKO HOTELS,515402188,21
AMO GUARD,515402725,21
MAISON BOUCHARD PERE ET FILS,515420255,21
BOISSET - LA FAMILLE DES GRANDS VINS,515420305,31
SAFRAN SEATS,515450088,42
SOVAL,515480028,22
PREVOT-SMETA,515480085,22
ETS ROLOT ET LEMASSON,515520526,21
FERRO FRANCE,515580132,22
SOGEFI SUSPENSIONS,515580421,41
SA MAISON JOSEPH DROUHIN,515620417,21
C.P.E.F.,515620482,22
MAISON LOUIS LATOUR,515720076,22
GPI FRANCE,515720647,22
GAMA TECHNOLOGIES,515720829,31
FONDERIES DE BROUSSEVAL ET MONTREUIL,515780393,32
CDN THEATRE DIJON BOURGOGNE,515920171,21
ENTREPRISE HUBERT ROUGEOT MEURSAULT,516020138,32
ELECTRO INDUSTRIE,516080181,21
ETILAM,516280096,21
CONSTANTIA JEANNE D'ARC,516480134,21
CASINO DE SANTENAY SAS,516620192,21
FERRY CAPITAIN,516780095,32
CLINIQUE FRANCOIS 1ER - LOUIS PASTEUR,516880010,21
BEAUNE AUTOMOBILE,516920162,21
RELAIS POIDS LOURDS BERRY,517050076,21
SOCIETE DES FONDERIES DE SAINT-DIZIER,517280186,21
BUGNOT 52,517280251,21
MAKE ME REACH,517413969,21
OASIS SERVICES,517415600,21
ADOUR SERVICES A LA PERSONNE,517422705,21
DANONE NUTRICIA AFRICA & OVERSEAS,517441820,21
VESTIAIRE COLLECTIVE,517465225,32
TRANSDEV AEROPORT CARCASSONNE,517484184,21
TRANSDEV AEROPORT PERPIGNAN,517484598,21
COURS CHAUCHADIS,517509956,22
VILLA BEAUSOLEIL NOTRE DAME DE RIEZ,517528287,21
DOMINO SERVICES MRS,517529277,21
PROPR-E-CLAIR,517551537,32
CONCEPTION INDUSTRIELLE  ET TECHNOLOGIES FUTURES,517562849,21
T P F,517569166,21
RC CONCEPT OPERATIONNEL,517575445,21
COMPAGNIE DES TRANSPORTS DU YONNAIS,517586046,22
YOUNITED,517586376,31
R.A.R.,517612610,21
SAMSIC ASSISTANCE CARAIBES,517624151,22
EXEIS CONSEIL,517637971,22
LE MOULIN DE VERNEGUES,517642385,21
VITADOM,517643490,22
MSFR,517657979,22
L'OASIS,517669750,21
CENTRE CATALAN D'ONCOLOGIE,517680294,21
POLYNT COMPOSITES FRANCE,517698288,31
SUNZIL,517698304,21
STANLEY BLACK & DECKER DISTRIBUTION,517701454,22
GROUPE TERRE D'APPELS,517702296,21
ATOS WORLDGRID,517703369,41
FREELANCE SERVICES,517703385,22
SAINT GOBAIN TECHNOLOGY SERVICES FRANCE,517703815,21
CEADOM,517710026,21
A.A MEREAU JC,517715538,21
FALCK FRANCE,517715975,22
KOYO BEARINGS VIERZON MAROMME,517720116,32
UNION SPORTIVE BRESSANE PAYS DE L'AIN RUGBY,517727665,21
TRANSDEV PICARDIE,517746582,22
A.L.C.A.D.I.S. DEVELOPPEMENT,517752085,21
NOVIAL,517757217,22
ACUITIS FRANCE,517780870,22
BOURGOGNE SERVICES A LA PERSONNE,517782678,21
SOCIETE COOPERATIVE DE PRODUCTION SOLIDARITE INTERGENERATIONNELLE REUNIONNAISE,517820197,22
TRAVELEX PARIS SAS,517833687,22
SOA LOGISTICS SAS,517835013,22
PARIS FOOTBALL CLUB,517852059,21
VM INDUSTRIES,517864757,21
SCHILLIGER BOIS,517871232,22
MES SERVICES A LA CARTE,517878955,21
MANUFACTURE HARTMANN - EURO TF,517884904,21
LES FILMS DU CAP,517901765,21
GRANDE PHARMACIE DES 4 CHEMINS,517919650,21
METLIFE SOLUTIONS,517929949,22
OMS SYNERGIE NORD,517945598,32
DELIDESS,517945812,21
SOLETANCHE BACHY INTERNATIONAL,517958658,22
EDN NETTOYAGE,517968368,21
APSIA,517970158,21
SOCIETE D'INVESTISSEMENT DE GESTION ET DE RESTAURATION,517975587,32
SOCIETE D'EXPLOITATION DU BOULEVARD PERIPHERIQUE NORD DE LYON (SE BPNL),517989554,21
PARTENAIR LOGISTIQUE,518000336,22
SENTELIS,518042957,21
WALIBUY,518047014,21
AGENOR LENS,518048202,22
COTE OUEST,518055546,22
OKI,518059282,22
LOMBARD ET GUERIN GESTION,518089024,21
BREVANDIS,518095906,21
CLINIQUE SAINT MARTIN SUD,518101019,21
ARPR,518104534,22
DG URBANS,518126990,22
EIFFAGE ENERGIE SYSTEMES - CLEVIA MEDITERRANEE,518137724,21
EIFFAGE ENERGIE SYSTEMES - CLEVIA NORD,518137757,22
EIFFAGE ENERGIE SYSTEMES - CLEVIA NOUVELLE AQUITAINE,518137773,21
EIFFAGE ENERGIE SYSTEMES - GUYANE,518137823,21
EIFFAGE ENERGIE SYSTEMES - CLEVIA CENTRE EST,518137864,32
CARDIGEST,518157276,21
T.R.D,518157797,21
SARL TETARD,518162342,21
HERDIS,518162953,22
PETERCEM,518182639,21
AIDE@VENIR LA BREDE,518190475,21
GARAGE COURT,518198858,21
EIFFAGE ENERGIE SYSTEMES - TELECOM SUD EST,518201710,41
EIFFAGE ENERGIE SYSTEMES - SERVICES IDF,518201744,22
PRAXY CENTRE,518205976,22
FORTIL SUD EST,518239058,22
SAGEMCOM ENERGY & TELECOM SAS,518250337,31
A2MICILE AUDOMAROIS LITTORAL,518254958,22
CLEIA,518290853,21
CILAM PLF,518346473,22
EXPACEO,518356118,21
FAREVABIO,518362991,22
SOLUTION FAMILLE A DOMICILE,518403308,21
CILAM L&J,518419445,21
LK-EUROCAR HORN,518419866,21
MALHERBE DISTRIBUTION,518435920,21
AD DOMEO,518443718,22
99 ADVISORY,518455738,21
BIRDIES,518466537,22
AUXIVITA,518474259,21
VENEDIM,518480413,21
ANVIS DECIZE SAS,518482013,22
GARDIENNAGE SECURITE EVENEMENT,518482443,21
COMCAST INTERNATIONAL FRANCE SAS,518495353,21
SYNAP6,518511415,21
AAF LA PROVIDENCE II,518515416,51
EUROP NET II,518515564,42
SODIHARDT,518528708,21
GEODIS IT INFRASTRUCTURES SAS,518580709,21
HOSPITALISATION A DOMICILE NORD BASSE TERRE,518599212,21
RH2E PORTAGE,518601984,21
BM CHIMIE LACQ,518619820,21
SIMSE IMAGERIE MEDICALE STRASBOURG EUROPE,518630199,21
ENGIE MANAGEMENT COMPANY,518633920,32
LUTECE PROTECTION PRIVEE,518648845,21
HU RVL,518649181,22
GUARDIAN,518649793,21
CAPFI 6EME SENS,518655337,21
PASS'ETUDES 82,518659222,22
COMPAGNIE GENERALE D ENTREPRISE MODERNE CONSTRUCTION CGEM CONSTRUCTION,518666029,21
LOGAGRO,518675210,21
SONERGIA,518685516,22
AB TASTY,518685540,22
AWALEE CONSULTING,518698543,21
CROSSCALL,518706890,21
ALTIM FRANCE,518710439,21
DSN TRANSPORTS,518714225,21
APAVE SUDEUROPE SAS,518720925,51
CERBALLIANCE PROVENCE,518767462,32
ARKEA SCD,518768676,22
AAD PHENIX II,518790415,32
CVE,518792528,21
SCOPELEC SUD-EST,518823950,32
U LOG FONTENAY,518852868,22
XPO TRANSPORT SOLUTIONS CHAMPAGNE FRANCE,518853056,22
ELBA MOULT,518854211,22
SAS DEV LEON 2011,518857503,21
ILLUMINA FRANCE SARL,518859095,21
GROUPE IDEC INGENIERIE,518859566,21
HAPPYCHIC LOGISTIQUE,518862750,22
WITEKIO FRANCE,518864012,21
55 SAS,518864848,31
PORTALIS,518875414,21
EXPLORE,518891395,22
N.N.A.,518899968,32
LA GARDE DES PETITS PRINCES,518902275,21
WEFIX,518902804,32
POLE ETUDE RECHERCHE FORMATION,518903091,21
COYOTE SYSTEM,518905476,31
DEAFI SAS,518910328,21
LABORIZON MAINE ANJOU,518912985,21
AVANTIS PROJECT,518925730,21
NORD PICARDIE MAINTENANCE SERVICE,518927215,31
VINCI ENERGIES FRANCE,518927256,21
THALES DIGITAL FACTORY SAS,518928973,22
HOME MARKET SERVICES,518937610,21
IMPLID CONSULTING,518942081,21
RESIDENCE LES FIGUIERS,518956479,21
LE VITRAGE ISOLANT - L.V.I.,518965397,21
VITRAGES ISOLANTS DE L'OUEST - V.I.O.,518966411,21
S.T.N.A.,518969621,21
PEGASYSTEMS FRANCE,518970959,21
VERRES D'AQUITAINE - VERAQUI,518976501,21
CECCON BTP,518989678,22
2JDL,518990700,21
SLIMPAY,518991336,21
CENTRE D'ONCOLOGIE ET DE RADIOTHERAPIE 37,518991419,21
PROMOTELEC SERVICES,518998406,21
MACASSAR PRODUCTIONS,519001184,22
ED FIELD,519011803,21
CORPLEX FRANCE KAYSERSBERG,519011878,31
ATELIERS FLORENTAIS,519018519,22
EVOLUCARE TECHNOLOGIES,519018816,21
